sweep_type,experiment,model,model_label,parameter_name,parameter_value,n_trials,mean_accuracy,std_accuracy,ci95_accuracy_low,ci95_accuracy_high,mean_error_rate,std_error_rate,mean_latency_ms,std_latency_ms,median_latency_ms,p95_latency_ms,mean_inference_steps
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,16,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,27.459,19.132,30.159,51.244,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,24,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,65.806,8.1,64.758,76.686,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,32,30,0.0,0.0,0.0,0.0,1.0,0.0,84.403,8.411,82.353,99.33,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,1,30,0.7333,0.4498,0.5724,0.8943,0.2667,0.4498,0.813,0.161,0.808,1.132,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,2,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,1.069,0.075,1.067,1.147,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,4,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,3.353,2.395,1.871,7.342,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,8,30,0.0,0.0,0.0,0.0,1.0,0.0,7.572,4.891,3.795,13.952,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,12,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,7.492,5.645,4.451,18.655,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,16,30,0.0,0.0,0.0,0.0,1.0,0.0,12.106,8.859,5.842,26.507,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,24,30,0.0,0.0,0.0,0.0,1.0,0.0,13.088,8.734,8.954,33.329,1.0
memory_capacity,memory_capacity,fixed_size_recurrent_memory,Fixed-Size Recurrent [O(d)],num_pairs,32,30,0.0333,0.1826,0.0,0.0987,0.9667,0.1826,18.702,11.769,12.28,43.125,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,1,30,1.0,0.0,1.0,1.0,0.0,0.0,0.544,0.078,0.525,0.633,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,2,30,1.0,0.0,1.0,1.0,0.0,0.0,0.88,0.416,0.785,1.078,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,4,30,1.0,0.0,1.0,1.0,0.0,0.0,2.701,1.549,2.196,6.108,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,8,30,1.0,0.0,1.0,1.0,0.0,0.0,6.2,4.259,3.305,12.405,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,12,30,1.0,0.0,1.0,1.0,0.0,0.0,6.693,5.264,3.554,16.556,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,16,30,1.0,0.0,1.0,1.0,0.0,0.0,7.545,6.375,4.697,20.159,1.0
memory_capacity,memory_capacity,full_history_reference_baseline,Full-History KV Cache [O(T)],num_pairs,24,30,1.0,0.0,1.0,1.0,0.0,0.0,8.55,6.996,6.124,25.878,1.0
